n_steps,sim_time_s,wall_time_mean_ms,wall_time_std_ms,wall_time_max_ms,wall_time_p95_ms,wall_time_total_ms,cpu_time_mean_ms,cpu_time_std_ms,cpu_time_max_ms,cpu_time_p95_ms,cpu_time_total_ms,cpu_to_wall_ratio,freq_mean_hz,freq_std_hz,freq_min_hz,eq_rate_mean_hz,eq_rate_min_hz,eq_rate_p05_hz,wall_util_mean_pct,wall_util_max_pct,cpu_util_mean_pct,cpu_util_max_pct,wall_deadline_miss_count,cpu_deadline_miss_count,wall_deadline_miss_rate_pct,cpu_deadline_miss_rate_pct,controller,repetition_id
1000,99.9,0.05334421538282186,0.0018102543249680612,0.0677499920129776,0.0561080203624442,53.34421538282186,0.05336200000000635,0.001882805353710779,0.06899999999987472,0.05699999999997374,53.36200000000635,1.000333393547114,18765.237190565054,562.8243670925788,14760.149341544551,18765.237190565054,14760.149341544553,17822.830583494404,0.05334421538282185,0.06774999201297784,0.05336200000000635,0.06899999999987497,0,0,0.0,0.0,SMC,8
1000,99.9,0.05322406499180943,0.0018024246788216525,0.07575005292892456,0.05571014480665326,53.22406499180943,0.05325599999999664,0.0018937961875459444,0.07599999999996498,0.05599999999983396,53.25599999999664,1.0006000106942625,18806.66526409969,539.5066134011794,13201.310907839088,18806.66526409969,13201.310907839088,17950.052550279677,0.05322406499180943,0.07575005292892886,0.05325599999999664,0.0759999999999693,0,0,0.0,0.0,SMC,9
1000,99.9,34.57404795242469,5.115106165522109,81.134625012055,42.01923122745933,34574.04795242469,34.43898400000004,4.8487890591099365,77.97600000000041,41.7182999999997,34438.98400000004,0.996093487444383,29.462051049361406,3.7712341381112764,12.325194081459294,29.46205104936145,12.325194081459301,23.798627304312852,34.57404795242469,81.13462501205385,34.43898400000004,77.9759999999993,0,0,0.0,0.0,NMPC,0
1000,99.9,33.323344625241546,6.8377886624491095,135.7905000331811,43.92393749149045,33323.344625241545,33.12017600000024,5.892513779621057,95.1799999999991,42.876749999998424,33120.17600000024,0.9939031142423977,30.817189285225627,4.317203988008281,7.364285423174997,30.817189285225673,7.364285423175001,22.766634430891553,33.32334462524154,135.79050003317917,33.12017600000023,95.17999999999775,1,0,0.1,0.0,NMPC,1
1000,99.9,34.19534669432319,15.352550023960754,353.3557500340976,42.90711690264286,34195.34669432319,33.404544000000094,8.033393584287301,139.5080000000064,42.12754999999568,33404.544000000096,0.9768739676368196,30.71507733581305,4.5062347969816585,2.8300091335813935,30.715077335813092,2.8300091335813935,23.30617889457877,34.19534669432319,353.3557500340976,33.404544000000094,139.5080000000064,6,4,0.6,0.4,NMPC,2
1000,99.9,33.8054123295005,7.179340203346363,89.0832080040127,43.26332855853248,33805.4123295005,33.59952200000004,6.458692689199336,84.0419999999966,42.54254999998819,33599.52200000004,0.9939095453859977,30.458074295510006,4.4023332678213505,11.225460133350332,30.45807429551006,11.225460133350333,23.11426763634944,33.80541232950049,89.08320800401144,33.59952200000005,84.04199999999541,0,0,0.0,0.0,NMPC,3
1000,99.9,36.655243088840464,18.517482600151684,323.1203340110369,53.35923123348036,36655.24308884046,35.05190800000023,9.042557119838007,102.5049999999794,50.26800000001111,35051.90800000023,0.9562590518100161,29.42088516392818,5.545604383274979,3.094822252708623,29.420885163928222,3.094822252708623,18.740945643445837,36.655243088840486,323.1203340110323,35.05190800000024,102.50499999997794,12,2,1.2,0.2,NMPC,4
1000,99.9,31.87513115745965,4.0037226676851585,57.2499170084483,40.900892342324305,31875.131157459648,31.769621999999835,3.8465806947358763,57.147999999983696,40.37359999999805,31769.621999999836,0.9966899224056959,31.791339056808557,3.380852148928125,17.46727422945311,31.791339056808603,17.46727422945314,24.44934456489029,31.87513115745964,57.2499170084483,31.76962199999983,57.147999999983696,0,0,0.0,0.0,NMPC,5
1000,99.9,34.92104500433193,5.916450636534507,113.6968330247327,42.67636846052481,34921.04500433193,34.67938599999975,4.843027116484559,76.3709999999946,42.36294999999755,34679.38599999975,0.9930798461414256,29.24024138144053,3.90807837666324,8.795319741073767,29.240241381440573,8.795319741073772,23.432172059559456,34.921045004331916,113.69683302473916,34.679385999999745,76.37099999998809,2,0,0.2,0.0,NMPC,6
1000,99.9,36.123840449261436,9.632249331017732,142.0028749853372,49.8313937685452,36123.840449261435,35.674201000000025,8.272823030175198,108.6080000000038,48.51995000000207,35674.20100000002,0.9875528337056808,28.84995604392524,4.859126695535512,7.042110943903471,28.849956043925275,7.042110943903475,20.067672202390025,36.12384044926142,142.0028749853251,35.67420100000002,108.60800000000225,3,2,0.3,0.2,NMPC,7
