time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,yaw_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_prepare_time_s,controller_solver_time_s,controller_post_time_s,controller_success,controller,controller_wall_time_ms,controller_cpu_time_ms,dt_s,dt_ms,equivalent_rate_from_wall_hz,wall_utilization_pct,cpu_utilization_pct,wall_deadline_miss,cpu_deadline_miss
17.6,0.6843699,0.014208178,-0.5270767,-0.02720751,0.030210802,2.906923,0.21400031,0.1335354,0.0069756233,-0.005897919,0.022587053,-0.29822344,0.48082262,-0.42159387,-0.5,2.5915616,0.4817551970481872,0.3496175408363342,0.3153614997863769,-2.3431152436879543,9.6215515,4.561876,-4.520584,18.704012,4.0413465,-0.20667097,2.512504579499364e-05,2.4999999999997247e-05,39800.92248027893,1.0830117389559746e-06,1.9915984012186527e-05,3.5829725675284863e-06,1,SMC,0.02512504579499364,0.024999999999997247,0.10000000000000142,100.00000000000142,39800.92248027893,0.02512504579499328,0.024999999999996893,False,False
17.7,0.6509113,0.0008980446,-0.5279148,-0.028292866,0.030616755,2.8791208,0.2945859,0.20716107,0.006155316,-0.0024555915,0.011617899,-0.27768105,0.46761674,-0.41334108,-0.5,2.5747287,0.453839361667633,0.4445076882839203,0.3043920993804931,-2.306766304816601,6.89916,7.265446,-7.2429757,21.407581,3.9572082,-0.017833948,2.679199678823352e-05,2.6999999999999247e-05,37324.57897423976,9.59029421210289e-07,2.141698496416211e-05,3.917026333510876e-06,1,SMC,0.02679199678823352,0.026999999999999247,0.09999999999999787,99.99999999999787,37324.57897423976,0.02679199678823409,0.026999999999999823,False,False
17.8,0.60912925,-0.016619809,-0.52931625,-0.028769026,0.0298372,2.8499725,0.35831833,0.27756518,0.004807224,0.004161346,0.00044954944,-0.29145226,0.45430568,-0.40471634,-0.5,2.5588028,0.4188659787178039,0.5271974205970764,0.2911696434020995,-2.2681820279108647,14.394613,-0.254448,0.25247782,13.887688,5.086031,0.24185285,2.6916968636214733e-05,2.6999999999999247e-05,37151.28599788076,1.0420335456728935e-06,2.1458021365106102e-05,3.915978595614433e-06,1,SMC,0.026916968636214733,0.026999999999999247,0.10000000000000142,100.00000000000142,37151.28599788076,0.02691696863621435,0.02699999999999886,False,False
17.900000000000002,0.5605325,-0.037839253,-0.5308429,-0.029016702,0.028060492,2.8273256,0.4047182,0.34290326,0.0066718706,0.004279411,-0.011248251,-0.22678505,0.44089237,-0.39572734,-0.5,2.5437405,0.3786144852638244,0.5950263142585754,0.2835850715637207,-2.2238098473118972,6.3946133,7.745552,-7.7475224,21.887688,5.1693654,-0.33026868,2.73330369964242e-05,2.6999999999999247e-05,36585.76250165042,1.00000761449337e-06,2.1874962840229273e-05,3.875000402331352e-06,1,SMC,0.0273330369964242,0.026999999999999247,0.10000000000000142,100.00000000000142,36585.76250165042,0.027333036996423813,0.02699999999999886,False,False
18.0,0.5065469,-0.062209163,-0.5321429,-0.028299794,0.02509473,2.801101,0.43827564,0.39849612,0.010862751,0.014526877,-0.022039669,-0.26289314,0.42737988,-0.38638225,-0.5,2.5295002,0.335244357585907,0.649191677570343,0.2716007232666015,-2.179529082261225,11.887229,2.1869113,-2.2549067,16.329046,7.316462,1.4432473,2.7333968318998817e-05,2.6999999999999247e-05,36584.51595207775,1.04197533801198e-06,2.1833984646946192e-05,3.875000402331352e-06,1,SMC,0.027333968318998817,0.026999999999999247,0.09999999999999787,99.99999999999787,36584.515952077745,0.0273339683189994,0.026999999999999823,False,False
18.1,0.4484551,-0.08902915,-0.53296524,-0.027528374,0.021229684,2.7779138,0.4580643,0.44652903,0.015912313,0.013532337,-0.032076027,-0.23279887,0.41377124,-0.37668943,-0.5,2.516043,0.2916129827499389,0.6890980005264282,0.2618708610534668,-2.1338027640763197,6.1825156,7.862231,-7.95962,22.004366,7.4698954,1.4724641,3.20419785566628e-05,3.199999999997649e-05,31209.05902335611,1.0420335456728935e-06,2.5416025891900063e-05,5.04200579598546e-06,1,SMC,0.0320419785566628,0.03199999999997649,0.10000000000000142,100.00000000000142,31209.05902335611,0.03204197855666234,0.031999999999976034,False,False
18.2,0.38730448,-0.117582925,-0.53318125,-0.026145106,0.016482797,2.7511752,0.46988022,0.48398525,0.021146422,0.019508751,-0.04009278,-0.26853055,0.40006948,-0.3666576,-0.5,2.503332,0.2515991628170013,0.7178093791007996,0.2478432655334472,-2.093800487325382,14.182516,-0.13776915,0.040380154,14.004367,8.113997,3.146391,3.416603431105614e-05,3.399999999997849e-05,29268.834389608972,1.00000761449337e-06,2.762500662356615e-05,5.041947588324547e-06,1,SMC,0.03416603431105614,0.03399999999997849,0.09999999999999787,99.99999999999787,29268.834389608972,0.034166034311056866,0.033999999999979214,False,False
18.3,0.3239657,-0.14713863,-0.5330685,-0.024836456,0.011259396,2.7298946,0.47316125,0.51395845,0.022371104,0.016593989,-0.04665369,-0.21407093,0.3862777,-0.35629582,-0.5,2.4913318,0.2207329720258712,0.7358728051185608,0.2385628223419189,-2.056785715561095,7.2839127,6.7024946,-6.858223,20.844631,7.6639905,3.2949996,3.083300543949008e-05,3.2000000000032e-05,32432.77733539485,1.2919772416353226e-06,2.5040993932634592e-05,3.958004526793957e-06,1,SMC,0.03083300543949008,0.032000000000032,0.10000000000000142,100.00000000000142,32432.77733539485,0.030833005439489643,0.032000000000031545,False,False
18.4,0.25912645,-0.1771246,-0.5327664,-0.022871085,0.005568788,2.705551,0.4741567,0.53389657,0.021625495,0.022394622,-0.050843406,-0.24476017,0.37239903,-0.3456134,-0.5,2.4800103,0.2056521028280258,0.7468189001083374,0.2255406379699707,-2.029399686143548,15.283913,-1.2975053,1.1417769,12.84463,8.474243,4.531508,2.9999995604157448e-05,2.999999999997449e-05,33333.33821760355,1.0829535312950611e-06,2.4457986000925303e-05,3.999972250312567e-06,1,SMC,0.029999995604157448,0.02999999999997449,0.09999999999999787,99.99999999999787,33333.33821760355,0.029999995604158086,0.02999999999997513,False,False
18.5,0.19335912,-0.20702402,-0.5323578,-0.021074349,-0.00024896133,2.6869135,0.46982354,0.54849243,0.019250598,0.019005222,-0.053900175,-0.18765134,0.35843658,-0.33461994,-0.5,2.4693365,0.2111357748508453,0.7505303025245667,0.2175769805908203,-2.013185540410957,7.2839127,4.6628604,-6.858223,18.804996,8.14142,4.512623,2.7292000595480204e-05,2.6999999999999247e-05,36640.773053684046,1.04197533801198e-06,2.179096918553114e-05,3.916968125849962e-06,1,SMC,0.027292000595480204,0.026999999999999247,0.10000000000000142,100.00000000000142,36640.773053684046,0.027292000595479815,0.02699999999999886,False,False
