controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J
SMC,4,28.200000000000003,0.0,0.5,-0.5,0.00439487025141716,0.5060474872589111,-0.47462406754493713,0.02645420447939036,-0.19757970236241817,-0.2394506148993969,-2.187301367521286,0.0,0.0,0.0,0.001900662088976273,0.06409197010647974,0.06409197010647974,0.001900662088976273,1.2069011655031572,1.2069011655031572,2.5457875953972264,0.25457875953972264,168.47388754250707
SMC,4,28.3,0.0,0.5,-0.5,0.007876062765717506,0.5101199746131897,-0.4744981527328491,0.02854453476408779,-0.23313005920499563,-0.41928816586732864,-2.6131330872885883,0.0,0.0,0.0,0.017818010196429812,0.116902930961155,0.116902930961155,0.017818010196429812,1.5759813124356266,1.5759813124356266,3.4214045071864225,0.3421404507186423,168.8160279932257
SMC,4,28.400000000000002,0.0,0.5,-0.5,0.011533210054039955,0.5143168568611145,-0.4747972786426544,0.031195584436715603,-0.4040347156114876,-0.6344402581453323,-1.8965737614780664,0.0,0.0,0.0,0.024534412131995826,0.23476336484803184,0.23476336484803184,0.024534412131995826,0.9744585642776827,0.9744585642776827,2.4675126825154208,0.2467512682515421,169.06277926147726
SMC,4,28.5,0.0,0.5,-0.5,0.015257629565894604,0.51854407787323,-0.4752379357814789,0.03449402714240021,-0.6013063760474324,-0.8760991506278515,-1.3535250769928098,0.0,0.0,0.0,0.031955398440001045,0.3983692905223674,0.3983692905223674,0.031955398440001045,0.587500485197553,0.587500485197553,2.035650348319843,0.2035650348319843,169.26634429630923
SMC,4,28.6,0.0,0.5,-0.5,0.018914172425866127,0.522685170173645,-0.4756088852882385,0.03830521297741255,-0.8117085671983659,-1.1315803416073322,-0.9014545753598213,0.0,0.0,0.0,0.0401328639140872,0.6009555234457573,0.6009555234457573,0.0401328639140872,0.319318838573752,0.319318838573752,1.920814451867193,0.1920814451867193,169.45842574149594
SMC,4,28.700000000000003,0.0,0.5,-0.5,0.022351885214447975,0.5266095995903015,-0.47573816776275635,0.04238294546753668,-1.01857450325042,-1.3852777890861034,-0.4723069863393903,0.0,0.0,0.0,0.0492615956835808,0.8267951888881249,0.8267951888881249,0.0492615956835808,0.12110032941245176,0.12110032941245176,1.9943142279683148,0.19943142279683151,169.6578571642928
SMC,4,28.8,0.0,0.5,-0.5,0.02541719377040863,0.5301820039749146,-0.47546619176864624,0.04646390910628483,-1.2036302359774709,-1.6199459880590439,-1.0357518075034022,0.0,0.0,0.0,0.05958960937555075,1.0525325794583356,1.0525325794583356,0.05958960937555075,0.3932713597403004,0.3932713597403004,3.010787097148374,0.30107870971483736,169.9589358740076
SMC,4,28.900000000000002,0.0,0.5,-0.5,0.027969276532530785,0.5332738757133484,-0.47501713037490845,0.05013556631219852,-1.3494948856532574,-1.8186685116961598,-1.6336906235665083,0.0,0.0,0.0,0.07129132057523258,1.2509721217467367,1.2509721217467367,0.07129132057523258,0.7790467042913328,0.7790467042913328,4.202620293226604,0.42026202932266044,170.37919790333027
SMC,4,29.0,0.0,0.5,-0.5,0.02989812381565571,0.535778284072876,-0.47462403774261475,0.05308411136473823,-1.4430521498434246,-1.967788813635707,-2.1873038820922375,0.0,0.0,0.0,0.08432345407411485,1.3974249030677262,1.3974249030677262,0.08432345407411485,1.2069032467249288,1.2069032467249288,5.37730320773354,0.537730320773354,170.91692822410363
SMC,4,29.1,0.0,0.5,-0.5,0.03113037534058094,0.5376136898994446,-0.4744981527328491,0.055083882858183844,-1.4754518633708358,-2.0562939858064055,-2.6131327671464533,0.0,0.0,0.0,0.09820270005701089,1.472381792588271,1.472381792588271,0.09820270005701089,1.5759810228189157,1.5759810228189157,6.293131030928395,0.6293131030928395,171.54624132719647
SMC,4,29.200000000000003,0.0,0.5,-0.5,0.031632404774427414,0.5387274622917175,-0.47479724884033203,0.05599646447219473,-1.442894471110776,-2.0768591668456793,-1.8965759500861168,0.0,0.0,0.0,0.11197830349754502,1.464888848522379,1.464888848522379,0.11197830349754502,0.9744602510366033,0.9744602510366033,5.102654806113055,0.5102654806113055,172.05650680780778
SMC,4,29.3,0.0,0.5,-0.5,0.031410686671733856,0.5390980839729309,-0.4752379357814789,0.0559325596759737,-1.1224718589801341,-2.026490995194763,-1.3535246718674898,0.0,0.0,0.0,0.19067893111809261,1.2396171603930464,1.2396171603930464,0.19067893111809261,0.5875002214292917,0.5875002214292917,4.035592625880861,0.4035592625880862,172.46006607039587
SMC,4,29.400000000000002,0.0,0.5,-0.5,0.030641887336969376,0.5387347936630249,-0.4756088852882385,0.05508389943142138,-0.8611835225019604,-1.906425841152668,-0.9014543471857905,0.0,0.0,0.0,0.23706189419004597,1.0213943711324558,1.0213943711324558,0.23706189419004597,0.31931871733592615,0.31931871733592615,3.1555499653168564,0.3155549965316856,172.77562106692756
SMC,4,29.5,0.0,0.5,-0.5,0.02946336567401886,0.5376762747764587,-0.47573816776275635,0.053630477355514274,-0.6481966748833656,-1.492703843396157,-0.47230688272975385,0.0,0.0,0.0,0.1721635795736976,0.6949139087046063,0.6949139087046063,0.1721635795736976,0.12110028956391855,0.12110028956391855,1.976355555684445,0.19763555556844448,172.973256622496
SMC,4,29.6,0.0,0.5,-0.5,0.02798132598400116,0.53608238697052,-0.47546619176864624,0.051834361186824066,-0.4751529754139483,-1.1455410160124302,-1.0357516165822744,0.0,0.0,0.0,0.12176589362663039,0.4577072654058774,0.4577072654058774,0.12176589362663039,0.393271251002173,0.393271251002173,1.9454888200693616,0.19454888200693615,173.16780550450295
SMC,4,29.700000000000003,0.0,0.5,-0.5,0.02627694606781006,0.5340814590454102,-0.47501713037490845,0.04976110448953972,-0.3355744108557701,-0.8555943006649613,-1.6336903581395745,0.0,0.0,0.0,0.0831890578193513,0.28840061961817365,0.28840061961817365,0.0831890578193513,0.7790465144328923,0.7790465144328923,2.3012723837408346,0.23012723837408344,173.397932742877
SMC,4,29.8,0.0,0.5,-0.5,0.024411100894212723,0.531775712966919,-0.47462406754493713,0.04742927080809241,-0.22447726223617792,-0.6151671055704355,-2.1873011998832226,0.0,0.0,0.0,0.05417319561903858,0.17067870613881694,0.17067870613881694,0.05417319561903858,1.206901026755082,1.206901026755082,2.863505857025875,0.28635058570258753,173.68428332857962
SMC,4,29.900000000000002,0.0,0.5,-0.5,0.022428108379244804,0.5292456150054932,-0.4744981527328491,0.04481819113437945,-0.13812248595058918,-0.4177574487403035,-2.6131329068448395,0.0,0.0,0.0,0.03280374889032761,0.09194069237387967,0.09194069237387967,0.03280374889032761,1.5759811491971145,1.5759811491971145,3.4014511809226438,0.34014511809226433,174.0244284466719
SMC,4,30.0,0.0,0.5,-0.5,0.020358208566904068,0.5265527367591858,-0.4747972786426544,0.04188892036412714,-0.07378734648227692,-0.2580128610134125,-1.8965736497193575,0.0,0.0,0.0,0.017541266246416987,0.04239857429471996,0.04239857429471996,0.017541266246416987,0.9744584781453385,0.9744584781453385,2.0687966373729507,0.2068796637372951,174.23130811040917
SMC,4,30.1,0.0,0.5,-0.5,0.01821771264076233,0.5237429141998291,-0.4752379357814789,0.038842899646190185,-0.029608039185404778,-0.13152762781828642,-1.3535250071436167,0.0,0.0,0.0,0.007218097870292687,0.014349071343776007,0.014349071343776007,0.007218097870292687,0.5875004397202638,0.5875004397202638,1.218135217868665,0.1218135217868665,174.35312163219604
SMC,4,30.200000000000003,0.0,0.5,-0.5,0.016009582206606865,0.520845890045166,-0.4756088852882385,0.035857835002793485,-0.009665354155004025,-0.03447834402322769,-0.9014545381069183,0.0,0.0,0.0,0.0008670715180068212,0.002057497631124407,0.002057497631124407,0.0008670715180068212,0.31931881877982016,0.31931881877982016,0.6444867758579027,0.06444867758579029,174.4175703097818
SMC,4,30.3,0.0,0.5,-0.5,0.013721521012485027,0.517877995967865,-0.47573816776275635,0.03311403603052972,0.011491661425679922,0.03577168099582195,-0.472306968877092,0.0,0.0,0.0,0.0008392856968355413,0.0022794124717315936,0.0022794124717315936,0.0008392856968355413,0.12110032269640653,0.12110032269640653,0.24843804172994732,0.024843804172994734,174.4424141139548
SMC,4,30.400000000000002,0.0,0.5,-0.5,0.011341666802763939,0.5148435235023499,-0.47546619176864624,0.030836201811548898,0.033930218778550625,0.08079711347818375,-1.0357517749071121,0.0,0.0,0.0,0.0022507929272965275,0.008620582567591586,0.008620582567591586,0.0022507929272965275,0.39327134117525364,0.39327134117525364,0.8082854333402836,0.08082854333402835,174.52324265728885
SMC,4,30.5,0.0,0.5,-0.5,0.008858597837388515,0.5117354989051819,-0.47501713037490845,0.028988626474919985,0.05771394586190581,0.10107549838721752,-1.6336905816569924,0.0,0.0,0.0,0.002003057923851306,0.0140368195309219,0.0140368195309219,0.002003057923851306,0.7790466743136835,0.7790466743136835,1.5901731035369133,0.15901731035369135,174.68225996764255
SMC,4,30.6,0.0,0.5,-0.5,0.006260752212256193,0.5085364580154419,-0.47462403774261475,0.027495592268596686,0.08293664432130754,0.0959281250834465,-2.187303826212883,0.0,0.0,0.0,0.0003284915898191633,0.016781218172131223,0.016781218172131223,0.0003284915898191633,1.206903200475543,1.206903200475543,2.4480258204749865,0.24480258204749866,174.92706254969005
SMC,4,30.700000000000003,0.0,0.5,-0.5,0.0035371941048651934,0.5052186846733093,-0.4744981527328491,0.026269576050861908,0.1096489472547546,0.12674935162067413,-2.6131327147595584,0.0,0.0,0.0,0.0004960732892472678,0.0254978049021294,0.0254978049021294,0.0004960732892472678,1.5759809754270921,1.5759809754270921,3.2039497072369376,0.32039497072369383,175.24745752041372
